availability_id,coach_id,day,period,available,restriction_reason
1,1,MON,am,False,full_day_off
2,1,MON,pm,False,full_day_off
3,1,TUE,am,True,
4,1,TUE,pm,True,
5,1,WED,am,True,
6,1,WED,pm,True,
7,1,THU,am,True,
8,1,THU,pm,True,
9,1,FRI,am,True,
10,1,FRI,pm,True,
11,1,SAT,am,True,
12,1,SAT,pm,True,
13,1,SUN,am,True,
14,1,SUN,pm,True,
15,2,MON,am,False,full_day_off
16,2,MON,pm,False,full_day_off
17,2,TUE,am,True,
18,2,TUE,pm,True,
19,2,WED,am,False,part_time_unavailable
20,2,WED,pm,True,
21,2,THU,am,True,
22,2,THU,pm,True,
23,2,FRI,am,True,
24,2,FRI,pm,True,
25,2,SAT,am,True,
26,2,SAT,pm,True,
27,2,SUN,am,True,
28,2,SUN,pm,True,